Participant,participant&question,question,answer,processed_questions,processed_answers,Overall,Excited
p4,p4q9,Tell me about one of your weaknesses and how you plan to overcome it.,Ummm  so I think one of my weaknesses is that umm I have a tendency to to show up uhh to things kind to things kind of late. Umm this is actually probably after I'm used to after I'm used to going to a certain place umm because I have a tendency to think that  and especially in the mornings because I have a tendency to think oh I can get to a certain place uhh by biking uhh at a certain speed. So  I think uhh what I tend to do uhh what I'm trying to do nowadays to try to overcome that is basically get to somewhere before hand and then basically uhh do work there as opposed to try to do work umm away from a place where I need to be and like sort of try to make it there in the nick of time. It's something that I've tried to implement over the past couple weeks.,tell one weak plan overcom it.,ummm think one weak umm tendenc show uhh thing kind thing kind late. umm actual probabl i'm use i'm use go certain place umm tendenc think especi morn tendenc think oh get certain place uhh bike uhh certain speed. think uhh tend uhh i'm tri nowaday tri overcom basic get somewher hand basic uhh work oppos tri work umm away place need like sort tri make nick time. someth i'v tri implement past coupl weeks.,4.494494451,4.261343234
p4,p4q10,Now  why do you think we should hire you?,Umm I think you should hire me  because umm basically I've demonstrated over the past couple years umm a fair amount of research experience  a fair amount of experience in and out umm in and out of the classroom in both umm sort of an academic setting and in a research and development setting uhh such that I think I would be an asset to your company. Umm I think that my past experience with both uhh software and hardwares in aeronautics makes it so that uhh I have a good balance that would be useful to you.,think hire you?,umm think hire umm basic i'v demonstr past coupl year umm fair amount research experi fair amount experi umm classroom umm sort academ set research develop set uhh think would asset company. umm think past experi uhh softwar hardwar aeronaut make uhh good balanc would use you.,4.494494451,4.261343234
p42,p42q1,So  Jay  please tell me about yourself.,Um  so I'm a junior at MIT. I'm in aerospace engineering. Um  I'm thinking of doing more of the  the aeronautics side rather than the astronautics side  although I don't have to decide until later. Um  I'm in ROTC and  you know  in the Air Force portion. I'm hoping to become a pilot. Uh  I applied pretty recently and I'll find out maybe in February or March of next year. Um  I'm also in Sigma Alpha Epsilon fraternity. Our house is on the East campus across the river and I've been living there since I was a sophomore. Um  that's  that's basically me.,jay pleas tell yourself.,um i'm junior mit. i'm aerospac engineering. um i'm think aeronaut side rather astronaut side although decid later. um i'm rotc know air forc portion. i'm hope becom pilot. uh appli pretti recent i'll find mayb februari march next year. um i'm also sigma alpha epsilon fraternity. hous east campu across river i'v live sinc sophomore. um that' that' basic me.,5.108503027,4.790710224
p42,p42q2,Excellent. So uh  tell me about a time when you demonstrated leadership.,Um  so  probably the biggest chance I got to demonstrate leadership so far in my life has been this past summer when I went to pretty much ROTC's version of boot camp. It's called field training and it's about a month long and it's in Alabama. And it's pretty much a test to see what you'd do in really stressful situations. So  uh  they'd give us pretty big things like we'd have to be in charge of 40 or 50 people and we'd have to make sure they got to this place at the right time and then do um  I guess the correct action when we get there. And make sure nobody's going astray or making sure that like all the obstacles the instructors set up  uh  we can overcome them. So  being in charge of people for a good two or three days when everything is just so high stress is probably um  the most challenging leadership experience I've ever had.,excellent. uh tell time demonstr leadership.,um probabl biggest chanc got demonstr leadership far life past summer went pretti much rotc' version boot camp. call field train month long alabama. pretti much test see realli stress situations. uh they'd give us pretti big thing like we'd charg 40 50 peopl we'd make sure got place right time um guess correct action get there. make sure nobody' go astray make sure like obstacl instructor set uh overcom them. charg peopl good two three day everyth high stress probabl um challeng leadership experi i'v ever had.,5.108503027,4.790710224
p42,p42q3,Hm. That's all very interesting. So  can you tell me about a time when you were working on a team and you were faced with a challenge. How did you solve the problem.,Um  hm  to give I guess a non-ROTC-related example  um  as we have a decent amount of projects in um  Core 16 like Unified is  a lot  is very project based in the second semester and  um  one of the biggest problems we had in our specific group was the way that um  I guess  the work was being allocated. So at first  it was supposed to be um  very evenly divided so each person on the four-person team would do a quarter of the work. But  um  some people started doing a little bit less and some people started doing a little bit more. And by the middle of the semester  it was very unequal. And so  it was kind of getting  you know  under everyone's skin. So  as a group  after we um  we realized that it just wouldn't  it was really a detriment to our productivity  we all had a group meeting and said  listen  this is what we have to do. We have to reallocate the certain things that are um  are the parts of the project that um  we had  we wanted to originally and um  it just kind of went astray. So  we did that  and we became a lot better.,hm. that' interesting. tell time work team face challenge. solv problem.,um hm give guess non-rotc-rel exampl um decent amount project um core 16 like unifi lot project base second semest um one biggest problem specif group way um guess work allocated. first suppos um evenli divid person four-person team would quarter work. um peopl start littl bit less peopl start littl bit more. middl semest unequal. kind get know everyone' skin. group um realiz realli detriment product group meet said listen do. realloc certain thing um part project um want origin um kind went astray. becam lot better.,5.108503027,4.790710224
p42,p42q4,Excellent. So  um  can you tell me about a time when you were working on a team and you were faced with a challenge. How did you solve the problem?,Um  working on a team  faced with a challenge. Um  hm. I can think of um  try to not um  hit the same categories. So um  in SAE  in the fraternity that I'm in  last semester I was the recruitment chair. So  the  the job for the recruitment chair is essentially to plan Rush. Like  plan our events for CPW  plan our events for fall rush  plan our events for spring rush for a full calendar year  or for a full school year  excuse me. Um  and  the question was challenges in a group  right?,excellent. um tell time work team face challenge. solv problem?,um work team face challenge. um hm. think um tri um hit categories. um sae fratern i'm last semest recruit chair. job recruit chair essenti plan rush. like plan event cpw plan event fall rush plan event spring rush full calendar year full school year excus me. um question challeng group right?,5.108503027,4.790710224
p42,p42q5,Um  this was  tell me about when you were  tell me about a time when you were working on a team and were faced with a challenge.,Okay.,um tell tell time work team face challenge.,okay.,5.108503027,4.790710224
p42,p42q6,How you solved the problem. So it's challenges and teamwork.,So  challenges and teamwork. So  rush is very team-oriented because you're trying to work with your brothers to um  really see I guess  which freshmen uh  are the most compatible with your fraternity. And that you'd probably have the best time with. So  the way I set it up was we actually did work in small teams of about 4 or 5 brothers and we'd go out and you know  do fun things and meet freshmen. I would say the biggest problem with that during rush is that some teams were a lot more active than others. And the team that I was in  uh  was a little bit less active and  of course as being rush chair  I didn't want that to be the case. I wanted to change that. So  um  especially in situations where you don't have um  you don't have like hard  given  not given  but like outlined powers. Like you're not someone's boss. You're just like another brother in the fraternity. Um  the best kind of way to convince people to do something that you want to do is through positive motivation. So that's what I ended up using a lot to get for a while as rush chair to get people to go out. So it was all  always being like very excited to do it and like knowing that you're passionate about it and telling them  or and like having them realize that oh  this is a really good thing that we should be doing. And it will really help us out and it will be fun. So that's how I solved that problem.,solv problem. challeng teamwork.,challeng teamwork. rush team-ori tri work brother um realli see guess freshmen uh compat fraternity. probabl best time with. way set actual work small team 4 5 brother we'd go know fun thing meet freshmen. would say biggest problem rush team lot activ others. team uh littl bit less activ cours rush chair want case. want chang that. um especi situat um like hard given given like outlin powers. like someone' boss. like anoth brother fraternity. um best kind way convinc peopl someth want posit motivation. that' end use lot get rush chair get peopl go out. alway like excit like know passion tell like realiz oh realli good thing doing. realli help us fun. that' solv problem.,5.108503027,4.790710224
p42,p42q7,Uh  very good. So  can you tell me about your greatest weakness and what you're doing to improve upon it?,So  my greatest weakness. I normally would probably have to think a lot more about. But  I actually had a similar conversation with um one of my bosses in ROTC about a month and a half ago. So  I would say my greatest weakness is when I get put in really stressful situations  I will tend to jump to a decision or a conclusion too quickly and won't necessarily think about  or  I think through the whole process um  like to fruition. I'll kind of like hurry up and want to get to something so  um  so the situation can be like  I guess resolved. So what I'm working on is just being able to like even in a stressful situation and I know it is a problem to kind of slow down and take a step back and really like at things kind of from a higher altitude.,uh good. tell greatest weak improv upon it?,greatest weakness. normal would probabl think lot about. actual similar convers um one boss rotc month half ago. would say greatest weak get put realli stress situat tend jump decis conclus quickli necessarili think think whole process um like fruition. i'll kind like hurri want get someth um situat like guess resolved. i'm work abl like even stress situat know problem kind slow take step back realli like thing kind higher altitude.,5.108503027,4.790710224
p42,p42q8,That's very good. And so  think about a job that you'd like later. Why do you think we should hire you for this position?,Um  I'm a really hard worker. I absolutely will devote myself to um  this company. I  I think as a team member  I'm very cooperative. Uh  if the goal we have as a team  if I agree with it  and for the most part I will. And if I won't then I'll voice  and like I'll voice my concerns and try to make it something everyone can agree on. And if I agree on it  um  then I am or I'll definitely be able to participate in the team in a very productive manner. I'll be a very good follower and if  um  if it's needed I can be a very good leader as well.,that' good. think job like later. think hire position?,um i'm realli hard worker. absolut devot um company. think team member i'm cooperative. uh goal team agre part will. i'll voic like i'll voic concern tri make someth everyon agre on. agre um i'll definit abl particip team product manner. i'll good follow um need good leader well.,5.108503027,4.790710224
p42,p42q9,Thank you Jay  I appreciate you coming.,All right.,thank jay appreci coming.,right.,5.108503027,4.790710224
p43,p43q1,So  can you tell me about yourself?,Sure  so I'm a senior at MIT in management and computer science. Uhm  I'm really interested in the intersection of the two. So  you know  not just  uhm  you know  how computers can  you know  you know  how  like the best algorithms to do about computers? like you know inventing the next algorithm  the next compression algorithm  not really something that I'm interested in doing. But uh really finding how computers can help apply to peoples lives and make new businesses or improve existing businesses.,tell yourself?,sure i'm senior mit manag comput science. uhm i'm realli interest intersect two. know uhm know comput know know like best algorithm computers? like know invent next algorithm next compress algorithm realli someth i'm interest doing. uh realli find comput help appli peopl live make new busi improv exist businesses.,5.683961929,5.05420031
p43,p43q2,Excellent. Let me open my questions up here. So  uhm  can you tell of a time where you demonstrate leadership?,Sure  so  uhm  I guess I'd say earlier this year. So I'm actually the president of Baker house and earlier in the beginning of the year in MIT we had this process called REX; Residence Exploration where all the dorms try and throw events and somehow  you know  recruit or retain the freshmen that they have. Uhm  and  the REX Event that we had uh  we threw a bunch of events  had about ten workers that we had  were able to give early arrival to. So free housing. Uh  so we ran about five or six events the largest of which was a party where we had over seven-hundred people attend.,excellent. let open question here. uhm tell time demonstr leadership?,sure uhm guess i'd say earlier year. i'm actual presid baker hous earlier begin year mit process call rex; resid explor dorm tri throw event somehow know recruit retain freshmen have. uhm rex event uh threw bunch event ten worker abl give earli arriv to. free housing. uh ran five six event largest parti seven-hundr peopl attend.,5.683961929,5.05420031
p43,p43q3,Wow. So can you tell me about a time where you're working on a team and face a challenge? how did you go about resolving it?,Sure. So I think there's  you know  always been challenges. So last summer when I was at Disney  uhm  there were  there was some disagreement about uh  how we should  when we should schedule  the  uh  what week we should schedule the  uh  trial for. Uhm  and there was some disagreement about whether we should have it later because of uhm  uh  dates for when the program would be ready but if we had it passed a certain date then we'd have to have the app also consider time zone issues. So basically just discussed with all the stake holders and let them know that  you know  by changing this date  pushing it back  we're adding scope to the app and we're going to have to make additional development changes and see if they would be able to be flexible to change it back.,wow. tell time work team face challenge? go resolv it?,sure. think there' know alway challenges. last summer disney uhm disagr uh schedul uh week schedul uh trial for. uhm disagr whether later uhm uh date program would readi pass certain date we'd app also consid time zone issues. basic discuss stake holder let know know chang date push back we'r ad scope app we'r go make addit develop chang see would abl flexibl chang back.,5.683961929,5.05420031
p43,p43q4,Ahh  that makes sense.,Yep.,ahh make sense.,yep.,5.683961929,5.05420031
p43,p43q5,Uhm  so  uh  tell me about your greatest weakness and what you've done to over come it.,Sure. So I think the  the problem  uhm  that I have the most is  uh  in delegating task to people. So  uhm  I want to make sure that things are done properly so I tend to overly control on things. So basically I've been thinking to myself alright is this something core that I really have to do? no. I think let's. you know  lets get someone else to do it  and that way also they also they learn it so  you know  when I graduate they're able to take on that role.,uhm uh tell greatest weak done come it.,sure. think problem uhm uh deleg task people. uhm want make sure thing done properli tend overli control things. basic i'v think alright someth core realli do? no. think let's. know let get someon els way also also learn know graduat they'r abl take role.,5.683961929,5.05420031
p43,p43q6,Mhmm. Uhm. Thanks. So I guess thinking  uhm  about a job that you like to apply for.,Sure.,mhmm. uhm. thanks. guess think uhm job like appli for.,sure.,5.683961929,5.05420031
p43,p43q7,Uh  Why should we hire you for this position?,Sure. I think uhm  I combine  you know  technical expertise with uh  business expertise and product expertise. So  hiring me as a product manager for your mobile app I think is  uh  would be optimal because I have expertise in all these areas and I've worked in all these areas in the past  uhm  and I'm able to bring that expertise to your organization in a way that I think few other candidates  uhm  have.,uh hire position?,sure. think uhm combin know technic expertis uh busi expertis product expertise. hire product manag mobil app think uh would optim expertis area i'v work area past uhm i'm abl bring expertis organ way think candid uhm have.,5.683961929,5.05420031
p43,p43q8,Ah  well thank you for coming.,Thank you for having me.,ah well thank coming.,thank me.,5.683961929,5.05420031
p44,p44q1,Um  please tell me about yourself.,Okay  um  my name's Evan  Evan Muray  I'm a junior here at MIT in computer science. I'm originally from Louisville Kentucky. And  uh  yeah I currently live across the river. I heard about this study through e-mail. So  thought I'd check it out.,um pleas tell yourself.,okay um name' evan evan muray i'm junior mit comput science. i'm origin louisvil kentucky. uh yeah current live across river. heard studi e-mail. thought i'd check out.,4.541779253,3.791975461
p44,p44q2,So  I lived in Louisville.,You did?,live louisville.,did?,4.541779253,3.791975461
p44,p44q3,Yeah.,Nice.,yeah.,nice.,4.541779253,3.791975461
p44,p44q4,Anyway. So can you tell me about a time when you served as a leader?,A leader? Uh sure. Um. A good example of that would be uh some of my extra curricular work  activities  so I'm involved in uh two activities in general that showcase my leadership skills. One is Camp Kesem MIT which is a student organization here on campus at MIT uh each summer the organization puts on a summer camp for children who's parents have or have had cancer. Um  and I serve on the coordinator board for this organization. Um  in the past I was in charge of handling applications and contacting families of campers who'd would come to our camp and being in contact with them throughout the year  send them newsletters  send them updates  plan reunions for them. Uh this year I am in charge of asking the students on campus and getting students to apply to become counselors for our camp and (inaudible) with students  so I work as a coordinator I actually have a co-coordinator  we usually work in tandem. The other activity is dance troop. It's another student organization here at MIT  where we put on a show each year and dance  have some fun  it's a dance show  and I'm a choreography for that organization as well. I lead a dance  teach people some dance moves for some fun.,anyway. tell time serv leader?,leader? uh sure. um. good exampl would uh extra curricular work activ i'm involv uh two activ gener showcas leadership skills. one camp kesem mit student organ campu mit uh summer organ put summer camp children who' parent cancer. um serv coordin board organization. um past charg handl applic contact famili camper who'd would come camp contact throughout year send newslett send updat plan reunion them. uh year charg ask student campu get student appli becom counselor camp (inaudible) student work coordin actual co-coordin usual work tandem. activ danc troop. anoth student organ mit put show year danc fun danc show i'm choreographi organ well. lead danc teach peopl danc move fun.,4.541779253,3.791975461
p44,p44q5,Oh  that's all very excellent.,Thanks.,oh that' excellent.,thanks.,4.541779253,3.791975461
p44,p44q6,So  can you tell me a time when you were working on a team and you faced a challenge  how did you solve the problem?,Sure  uh  I think a great example of that would be this past January  I participated in a web design competition here on campus  6470  I was on a team with my girlfriend and a mutual friend of ours. It's always different working in a group with your friends as opposed to just hanging out with them. There was a bit of conflict about how we wanted the website to go. We had different visions for how we wanted it to look  and I think for me the best way that I handled that was to sort of be willing to compromise because I think it's a very important skill and also just listening  active listening. I was listening to why she wanted to make certain changes to the website. And by doing that  um  I was able to uh figure out uh sort of like a common ground that we could work towards  I think we eventually did hit um and were able to move forward with this one conflict that I definitely remember because it was pretty big at the time but  I mean  we needed to get through it.,tell time work team face challeng solv problem?,sure uh think great exampl would past januari particip web design competit campu 6470 team girlfriend mutual friend ours. alway differ work group friend oppos hang them. bit conflict want websit go. differ vision want look think best way handl sort will compromis think import skill also listen activ listening. listen want make certain chang website. um abl uh figur uh sort like common ground could work toward think eventu hit um abl move forward one conflict definit rememb pretti big time mean need get it.,4.541779253,3.791975461
p44,p44q7,So tell me one of your greatest weaknesses and what you're doing to overcome it.,My greatest weakness... Hm. Okay. Uh. I'd say my  one of my bigger weaknesses is  uh  I'd say  probably uh  self-starting  actually. It's something I've been working  it's like my goal for this year  to work on. In the past I would do my classes  take my classes  and really just kind of do my schoolwork significantly outside of classes. If there's one thing I learned from being around all these amazing people here at MIT  is if you have an idea just go for it. It's very easy  especially here  there's resources to do so  and  it's something that I want to work on  I have some ideas for projects I want to start on my own. It's always been an issue for me to actually start on things and come up with ideas and really get started on certain projects. But  this  I plan on starting my own website and doing some ideas with that  and hopefully I will gain some more experience in computer sciences.,tell one greatest weak overcom it.,greatest weakness... hm. okay. uh. i'd say one bigger weak uh i'd say probabl uh self-start actually. someth i'v work like goal year work on. past would class take class realli kind schoolwork significantli outsid classes. there' one thing learn around amaz peopl mit idea go it. easi especi there' resourc someth want work idea project want start own. alway issu actual start thing come idea realli get start certain projects. plan start websit idea hope gain experi comput sciences.,4.541779253,3.791975461
p44,p44q8,Excellent. So uh think of a job you'd like to get hired for  why do you think we should hire you?,Uh  I think one of my best qualities is the ability to really quickly  coming to MIT for example  I came to MIT with very little experience in the field computer science. Many of my past internships  I've been going to  I don't have much experience  but I pride myself in the sort of grasp ideas quickly and uh build on top of those and use those to build solutions to problems. I find that  uh  after doing some examples of a certain problem  or just playing around with it for a little bit  I can get to work on using that sort of technology. In the past couple internships  I've had to deal with new languages  new framework  and I think that definitely more then compensates for any experience I'm lacking.,excellent. uh think job like get hire think hire you?,uh think one best qualiti abil realli quickli come mit exampl came mit littl experi field comput science. mani past internship i'v go much experi pride sort grasp idea quickli uh build top use build solut problems. find uh exampl certain problem play around littl bit get work use sort technology. past coupl internship i'v deal new languag new framework think definit compens experi i'm lacking.,4.541779253,3.791975461
p44,p44q9,Excellent. Thanks again for coming again.,No problem  thank you for having me.,excellent. thank come again.,problem thank me.,4.541779253,3.791975461
p45,p45q1,So how are you?,Pretty good  how are you?,you?,pretti good you?,5.578534697,5.451626379
p45,p45q2,Doing well. So can you please tell me about yourself.,So uh my name's Bonnie. I'm a junior at MIT. I'm in core six which if you don't know is in computer science. I'm minoring in economics umm also mathematics. So I'm interested in you know application of data and quantitative reasoning to any sort of like interesting fields so  that includes like economics  finance  biology. So a vary wide array of interests. And I'm here today because well I was uh  told it would be a good time here with the behavior study.,well. pleas tell yourself.,uh name' bonnie. i'm junior mit. i'm core six know comput science. i'm minor econom umm also mathematics. i'm interest know applic data quantit reason sort like interest field includ like econom financ biology. vari wide array interests. i'm today well uh told would good time behavior study.,5.578534697,5.451626379
p45,p45q3,Excellent. I went to MIT myself.,Oh what year were you?,excellent. went mit myself.,oh year you?,5.578534697,5.451626379
p45,p45q4,0-6.,Okay.,0-6.,okay.,5.578534697,5.451626379
p45,p45q5,Anyway  I'd like to ask you about your leadership experiences. Can you tell me about a time when you served as a leader?,Okay  so I'd say one fairly informal instance actually was over this last spring break. A couple friends and I  four of us actually  so a fairly small group  um  we biked from Philadelphia to Boston over spring break because we thought that would be a good idea. What it actually was  huh  there were some amazing ups  some amazing downs. umm  Definitely a very memorable experience. And there were just some points over the course of the trip when it was 45 degrees except your biking on the state highways  it's raining  and like ??? so we felt like giving up a little bit  just heading back up  taking the train. And I really riled people up in terms of reminding us why we were doing this and reminding us of the fact that we were already 60% of the way through we might as well push on all the way to the end of our journey. Just like I guess evoking everyone's different motivation because everyone you know wants to do something awesome  but everyone has a slightly different motivation for why they join a team in the first place. And I guess providing like individualized reasons and individualized motivations to uh you know different parts of our team as to why they came on in the first place and why that's still something that resonates with them. And using that you know I was able to get the group back together and we did bike all the way back up here. So that was a very rewarding experience.,anyway i'd like ask leadership experiences. tell time serv leader?,okay i'd say one fairli inform instanc actual last spring break. coupl friend four us actual fairli small group um bike philadelphia boston spring break thought would good idea. actual huh amaz up amaz downs. umm definit memor experience. point cours trip 45 degre except bike state highway rain like ??? felt like give littl bit head back take train. realli rile peopl term remind us remind us fact alreadi 60% way might well push way end journey. like guess evok everyone' differ motiv everyon know want someth awesom everyon slightli differ motiv join team first place. guess provid like individu reason individu motiv uh know differ part team came first place that' still someth reson them. use know abl get group back togeth bike way back here. reward experience.,5.578534697,5.451626379
p45,p45q6,Excellent. So you can about a time when you were working on a team and faced another challenge  how did you resolve it?,Sorry  a what challenge?,excellent. time work team face anoth challeng resolv it?,sorri challenge?,5.578534697,5.451626379
p45,p45q7,Another challenge  just not that particular one.,Oh  oh  another challenge.,anoth challeng particular one.,oh oh anoth challenge.,5.578534697,5.451626379
p45,p45q8,Yes.,Okay. Um  well let's see  most of the challenges I've seen coming in any sort of team work right involve either internal challenges  something that's coming from within the team  or an external challenge. So I guess if we were to talk about an external challenge  umm  something not involving you know lack of motivation  uhh  it would  uh  let's see. So uh  so my  my freshman year I was involved  uh  I was involved in this organization called tech fair where we basically organized a um a tech expo at the beginning of the uh  beginning of the school year. And I was  again I was  I was able to motivate people towards the end when there was a lot of work happening  a lot of twelve-hour days to get the logistics down before the event. And I guess again there it uh it does come down to really motivating people  um and speaking to their individual you know passions to get them to you know do things which they might not want to and short cut.,yes.,okay. um well let' see challeng i'v seen come sort team work right involv either intern challeng someth that' come within team extern challenge. guess talk extern challeng umm someth involv know lack motiv uhh would uh let' see. uh freshman year involv uh involv organ call tech fair basic organ um tech expo begin uh begin school year. abl motiv peopl toward end lot work happen lot twelve-hour day get logist event. guess uh come realli motiv peopl um speak individu know passion get know thing might want short cut.,5.578534697,5.451626379
p45,p45q9,Excellent. Can you tell me about your greatest weakness and what you're doing to overcome it?,Um  my greatest weakness I've noticed can be a uh lack of  lack of focus. Especially if I have like a large number of tasks  it's very easy to instead of you know caching away all my other tasks somewhere and focusing on one at a time. It's very easy for me to you know pop one but still have you know like subtasks and the other things I have to do running in my mind. Um  so of late  I've been trying to basically get more organized. I've you know had this hypothesis that by using a Google calendar  Google this  Google that  all these other products to try you know serve as fairly intelligent places where I can hash away my uh  my other tasks. It will provide me with something which is very trustworthy that I will trust enough to not what worry about those tasks. Because what usually happens  right  I just write it down on a piece of paper. Um I don't trust that I'll be able to find and the risk of forgetting to do something important is  is pretty great to bear. So that  that's been pretty useful so far. I've noticed that I've had an urge sometimes to think about other things I have to do  but I just remind myself that wait wait you wrote that down there. You probably knew what you were doing  so don't worry about that. There's a supervisor which is yourself taking care of your other tasks.,excellent. tell greatest weak overcom it?,um greatest weak i'v notic uh lack lack focus. especi like larg number task easi instead know cach away task somewher focus one time. easi know pop one still know like subtask thing run mind. um late i'v tri basic get organized. i'v know hypothesi use googl calendar googl googl product tri know serv fairli intellig place hash away uh tasks. provid someth trustworthi trust enough worri tasks. usual happen right write piec paper. um trust i'll abl find risk forget someth import pretti great bear. that' pretti use far. i'v notic i'v urg sometim think thing remind wait wait wrote there. probabl knew worri that. there' supervisor take care tasks.,5.578534697,5.451626379
p45,p45q10,Ah  that makes sense. So uh think about a job you would like to have  why should we hire you for this job?,So I think that one thing um I do retain in addition to well like  like I said I've had what used to be a problem in terms of being able to focus on a task but it does come with the added benefit of being able to juggle lots of tasks at the same time. I know lots of people who do focus on one task  it often becomes one task  one project going on for you know a couple months uh becomes the forefront of their thought  their imagination  becomes what they can handle. However  having been accustomed to juggling lots of stuff in the past  I think one great skill I can bring to the table is umm provide a very  very agile agile member to the team who can juggle lots of different projects and bring insight to all of them without  with my newfound organizational abilities  getting too uhh too caught up in the mix.,ah make sense. uh think job would like hire job?,think one thing um retain addit well like like said i'v use problem term abl focu task come ad benefit abl juggl lot task time. know lot peopl focu one task often becom one task one project go know coupl month uh becom forefront thought imagin becom handle. howev accustom juggl lot stuff past think one great skill bring tabl umm provid agil agil member team juggl lot differ project bring insight without newfound organiz abil get uhh caught mix.,5.578534697,5.451626379
p45,p45q11,Excellent  well thank you again for coming.,Thank you very much for uhh talking to me.,excel well thank coming.,thank much uhh talk me.,5.578534697,5.451626379
p47,p47q0,,Good  How are you doing?,,good doing?,3.862214073,3.171456751
p47,p47q1,I'm well  Thanks for coming. So please tell me about yourself?,Uhh  So my name is Skylar Shieto  I'm a junior currently here at MIT. I'm studying course 18 mathematics  uhmm  currently enjoying it alot  uhmm  classes I'm currently taking not so much.,i'm well thank coming. pleas tell yourself?,uhh name skylar shieto i'm junior current mit. i'm studi cours 18 mathemat uhmm current enjoy alot uhmm class i'm current take much.,3.862214073,3.171456751
p47,p47q2,Mhmm,Uhmm  I don't know  Is there anything in particular you want to know?,mhmm,uhmm know anyth particular want know?,3.862214073,3.171456751
p47,p47q3,That's good.,Ok.,that' good.,ok.,3.862214073,3.171456751
p47,p47q4,Thanks. So  I'm gonna ask you some questions I'd like to ask.,Ok.,thanks. i'm gonna ask question i'd like ask.,ok.,3.862214073,3.171456751
p47,p47q5,So  tell me about a time when you demonstrated leadership.,Uhmm  ok  so I was over at Ip I did book reports.,tell time demonstr leadership.,uhmm ok ip book reports.,3.862214073,3.171456751
p47,p47q6,Mhmm,Uhmm  I kind of assumed like a project mangerish role  particularly because I wasn't really familiar with Python too much  which is the coding language that they used to test.,mhmm,uhmm kind assum like project mangerish role particularli realli familiar python much code languag use test.,3.862214073,3.171456751
p47,p47q7,Mhmm,Uhmm  so I assumed more of a director kind of doing the math for it and kind of instructing people to do the mathematical thinking for that kind of thing.,mhmm,uhmm assum director kind math kind instruct peopl mathemat think kind thing.,3.862214073,3.171456751
p47,p47q8,uh-huh  excellent. So tell me about a time that you were working in a team and were faced with a challenge. How did you go about solving the problem?,Uhmm  Let me see  I usually take this particular example. One of the tough things is you having to explain things that are sort of  something that is very familiar to you to someone who doesn't have familiarity with that and  especially in a really short time. Uhh  can be extremely difficult. Uhmm  It's how to deal with that. Uhh  sort of just by giving a crash course  uhm  kind of asking other friends to also help  so it's uhmm  kind of give some information and ask for feedback  that sort of thing.,uh-huh excellent. tell time work team face challenge. go solv problem?,uhmm let see usual take particular example. one tough thing explain thing sort someth familiar someon familiar especi realli short time. uhh extrem difficult. uhmm deal that. uhh sort give crash cours uhm kind ask friend also help uhmm kind give inform ask feedback sort thing.,3.862214073,3.171456751
p47,p47q9,Excellent. uhm  so uhh  tell me about one of your weaknesses  and what you're doing to overcome it.,ok  uhh  let's see  one of my weaknesses uhhm  technical writing  uhmm  and what I'm doing to overcome that. Actually not very much  I'm taking a math writing class.,excellent. uhm uhh tell one weak overcom it.,ok uhh let' see one weak uhhm technic write uhmm i'm overcom that. actual much i'm take math write class.,3.862214073,3.171456751
p47,p47q10,Ah  interesting.,Uh  so that's been really helpful. It's in a subject that I really enjoy   and I actually have a paper due this Friday so hopefully I show so improvement and that would help.,ah interesting.,uh that' realli helpful. subject realli enjoy actual paper due friday hope show improv would help.,3.862214073,3.171456751
p47,p47q11,Mhmm  so now thinking of a job that you'd like to have  you got one in mind?,Uhmm  not particularly. Sorry.,mhmm think job like got one mind?,uhmm particularly. sorry.,3.862214073,3.171456751
p47,p47q12,No? Well just think of something. Why do you think we should hire you?,Uhmm  soo  I would like a job which is sort of very open  uhmm  sort of open in a sense that it's open to new ideas  open to uhmm  the ability to uh  work on different stuff. Sort of like whatever you want. Uhm  Also  in like a sense that you can go in and wear whatever you want you don't have to wear a suit and tie everyday  uhm  yeah.,no? well think something. think hire you?,uhmm soo would like job sort open uhmm sort open sens open new idea open uhmm abil uh work differ stuff. sort like whatev want. uhm also like sens go wear whatev want wear suit tie everyday uhm yeah.,3.862214073,3.171456751
p47,p47q13,So are you thinking of being a mathematician. (laughs),uh  wouldn't be too bad. (laughs),think mathematician. (laughs),uh bad. (laughs),3.862214073,3.171456751
p47,p47q14,Fair enough  well cool.,I think this is also the sort of place where I can do things that are in my interest  uhmm  like statistics or computer science.Those sort of things.,fair enough well cool.,think also sort place thing interest uhmm like statist comput science.thos sort things.,3.862214073,3.171456751
p48,p48q1,How are you,I'm doing well,,i'm well,4.438737117,3.790904315
p48,p48q2,Excellent.  So  uh  please tell me about yourself.,Uh  I'm a student  I study computer science.  Uh  I'm in my last year so when I graduate in May I'm going to be working on computer science stuff,excellent. uh pleas tell yourself.,uh i'm student studi comput science. uh i'm last year graduat may i'm go work comput scienc stuff,4.438737117,3.790904315
p48,p48q3,Mhm.  Now I'm going to ask you a series of questions  um  starting out with tell me a time where you demonstrate leadership,I demonstrate leadership on the track team  I was senior pole vaulter on the team so uh right now were doing uh the conditioning and stuff like that and all through the preseason a lot freshmen come and its important to get them up to speed so the uh  seniors on the team myself included uh   lead them though the workouts and stuff like that and its important to be able to...to stand up and let them know how the tradition is and stuff like that.,mhm. i'm go ask seri question um start tell time demonstr leadership,demonstr leadership track team senior pole vaulter team uh right uh condit stuff like preseason lot freshmen come import get speed uh senior team includ uh lead though workout stuff like import abl to...to stand let know tradit stuff like that.,4.438737117,3.790904315
